years_of_experience,loss_tolerance,panic_behavior,financial_behavior,engagement_level,investment_goal,target_amount,lump_sum_investment,monthly_investment,timeframe,income,risk_score
8,wait_and_see,no_experience,save_half,monthly,buy a house,110207,91511,925,12,high,30.7
1,wait_and_see,no_experience,save_all,quarterly,emergency fund,19238,5880,562,3,medium,10.6
7,wait_and_see,no_experience,invest_all,quarterly,buy a house,185938,50296,1235,7,medium,17.1
2,sell_immediately,yes_sometimes,spend_it,quarterly,emergency fund,5946,2640,87,3,low,9.3
15,buy_more,yes_sometimes,invest_all,daily,wealth building,557400,1028307,2904,15,high,67.0
15,buy_more,yes_sometimes,invest_all,weekly,wealth building,105994,99611,164,30,medium,44.2
2,sell_immediately,yes_sometimes,spend_it,rarely,vacation,7326,3603,186,2,low,2.1
4,sell_immediately,no_experience,save_all,quarterly,save for a car,77026,51443,2615,2,high,26.7
3,buy_more,no_never,invest_all,quarterly,retirement,965339,480385,27560,5,high,70.7
4,sell_immediately,yes_sometimes,save_half,quarterly,buy a house,40494,11749,805,2,low,7.0
3,wait_and_see,no_experience,invest_all,quarterly,retirement,3477943,3739861,18146,10,high,65.1
12,buy_more,no_never,save_half,weekly,wealth building,255210,204601,353,15,medium,46.9
5,sell_immediately,yes_sometimes,save_all,quarterly,buy a house,62017,5423,661,5,medium,14.6
15,wait_and_see,yes_sometimes,invest_all,monthly,retirement,928881,684946,1129,20,medium,42.6
10,wait_and_see,no_never,save_half,monthly,wealth building,1173121,1003766,3543,20,high,70.4
15,buy_more,yes_sometimes,save_half,weekly,retirement,471946,64537,3757,10,medium,48.8
8,wait_and_see,no_experience,invest_all,monthly,buy a house,297013,273102,5564,7,high,34.9
4,buy_more,yes_sometimes,save_half,weekly,retirement,2844262,2426852,8868,12,high,60.5
4,sell_immediately,yes_sometimes,save_all,rarely,emergency fund,36673,50486,1385,4,high,15.8
25,buy_more,no_never,invest_all,weekly,wealth building,302583,164798,998,25,medium,51.2
25,buy_more,yes_sometimes,invest_all,weekly,retirement,2578346,1961331,49580,15,high,87.7
5,sell_immediately,no_experience,save_all,monthly,emergency fund,3874,2260,92,2,low,1.0
20,buy_more,no_never,invest_all,weekly,wealth building,211081,281903,579,25,medium,55.2
3,sell_immediately,no_experience,save_half,monthly,emergency fund,20691,16954,97,4,medium,10.3
3,buy_more,no_never,save_half,monthly,wealth building,229827,130750,1743,12,medium,47.7
5,buy_more,yes_sometimes,save_half,quarterly,retirement,710432,516319,4104,12,medium,44.9
8,buy_more,yes_sometimes,invest_all,weekly,wealth building,72972,39211,245,15,medium,39.0
5,wait_and_see,no_experience,save_half,monthly,retirement,2468872,2527531,90976,5,high,71.1
6,buy_more,no_never,invest_all,quarterly,retirement,256806,224401,4725,5,medium,48.4
5,sell_immediately,yes_sometimes,save_all,monthly,save for a car,32299,25613,1142,2,medium,13.8
4,buy_more,no_never,invest_all,monthly,retirement,3048519,5442447,28579,12,high,88.3
18,buy_more,no_never,save_half,monthly,retirement,734556,860774,2135,20,medium,48.4
18,wait_and_see,no_never,save_half,weekly,retirement,561074,627352,5241,10,medium,56.8
7,buy_more,yes_sometimes,invest_all,quarterly,buy a house,141867,92578,3500,5,high,34.1
2,wait_and_see,no_experience,save_all,rarely,save for a car,33377,6684,732,4,medium,14.6
25,buy_more,yes_sometimes,invest_all,weekly,retirement,2882719,3687049,21755,25,high,89.4
12,buy_more,no_never,invest_all,daily,wealth building,69845,44841,47,20,medium,43.5
15,wait_and_see,yes_sometimes,save_half,daily,retirement,1525852,1235994,18601,20,high,85.0
6,wait_and_see,no_experience,save_half,weekly,buy a house,358487,282152,1715,10,high,27.5
25,buy_more,no_never,invest_all,daily,retirement,485625,225255,2638,15,medium,54.2
5,wait_and_see,no_experience,save_half,weekly,retirement,934403,276674,23803,5,high,68.5
18,buy_more,yes_sometimes,invest_all,monthly,retirement,1936834,1204417,20096,20,high,90.2
2,wait_and_see,yes_sometimes,save_all,rarely,vacation,6484,4202,100,2,low,10.7
3,buy_more,yes_sometimes,save_half,weekly,buy a house,194588,74363,1415,12,medium,15.2
1,wait_and_see,yes_always,save_all,quarterly,vacation,9260,5325,221,2,low,6.3
20,buy_more,no_never,invest_all,weekly,retirement,1023825,336322,4856,25,medium,51.7
6,buy_more,no_never,save_half,weekly,buy a house,84857,51665,1052,7,medium,27.8
5,sell_immediately,no_experience,save_all,quarterly,emergency fund,26674,35324,761,4,high,14.4
3,buy_more,no_never,save_half,quarterly,buy a house,586581,566725,7453,10,high,31.7
15,buy_more,yes_sometimes,invest_all,weekly,retirement,850362,134430,3698,25,medium,59.9
25,buy_more,yes_sometimes,invest_all,weekly,retirement,819890,204909,3519,20,medium,56.7
5,buy_more,no_experience,save_half,quarterly,buy a house,469295,668819,3655,12,high,33.8
1,wait_and_see,no_experience,save_half,quarterly,save for a car,99337,66412,2180,4,high,29.7
8,wait_and_see,no_experience,invest_all,weekly,wealth building,695875,151892,8126,10,high,58.9
8,wait_and_see,no_experience,invest_all,quarterly,retirement,895899,1109879,6306,10,medium,45.4
1,sell_immediately,no_experience,save_all,monthly,buy a house,30769,8000,670,2,low,9.9
5,wait_and_see,no_experience,save_all,quarterly,buy a house,130981,125693,2516,4,high,28.5
1,wait_and_see,yes_always,save_all,quarterly,vacation,11611,3199,240,1,low,3.6
4,wait_and_see,yes_sometimes,invest_all,monthly,wealth building,180990,97395,461,12,medium,32.8
1,sell_immediately,yes_sometimes,save_all,quarterly,emergency fund,5278,1210,174,1,low,8.5
15,buy_more,no_never,invest_all,weekly,wealth building,300260,153588,294,30,medium,48.8
25,buy_more,yes_sometimes,invest_all,monthly,retirement,2254136,4636160,13383,15,high,90.6
3,sell_immediately,yes_sometimes,save_all,monthly,buy a house,54897,8057,753,5,low,6.1
4,wait_and_see,yes_sometimes,save_half,monthly,buy a house,297945,101112,17433,4,high,32.7
8,buy_more,no_never,invest_all,monthly,wealth building,126252,73457,3722,5,high,70.1
10,buy_more,no_never,save_half,monthly,wealth building,1018028,333563,19996,10,high,67.3
8,wait_and_see,no_experience,save_half,monthly,buy a house,432908,250872,2848,12,high,39.8
2,wait_and_see,yes_always,spend_it,quarterly,vacation,5861,2316,121,3,low,6.4
10,wait_and_see,yes_sometimes,invest_all,daily,retirement,3297480,1406745,21140,15,high,67.6
2,wait_and_see,yes_sometimes,save_half,monthly,save for a car,86308,152979,963,5,high,21.6
15,buy_more,no_never,invest_all,daily,retirement,3423481,2159599,46287,20,high,96.8
5,buy_more,no_experience,invest_all,weekly,wealth building,62068,50064,257,10,medium,37.9
15,buy_more,no_never,invest_all,weekly,retirement,693951,774513,10150,10,high,87.0
7,wait_and_see,yes_sometimes,invest_all,quarterly,buy a house,455807,121119,9038,10,high,36.2
0,wait_and_see,yes_sometimes,save_all,rarely,emergency fund,31057,14266,430,2,medium,1.4
18,buy_more,yes_sometimes,invest_all,daily,retirement,250243,60562,2040,15,medium,51.0
2,wait_and_see,yes_sometimes,save_half,quarterly,save for a car,66403,27870,3637,4,high,20.1
2,wait_and_see,no_experience,save_all,monthly,buy a house,488865,216163,14962,3,high,28.2
1,wait_and_see,yes_sometimes,spend_it,rarely,emergency fund,26397,27529,615,1,medium,4.8
5,sell_immediately,yes_sometimes,save_all,monthly,buy a house,137325,114158,1882,5,medium,16.8
8,wait_and_see,yes_sometimes,invest_all,monthly,wealth building,177647,30982,1843,12,medium,47.4
1,sell_immediately,yes_always,save_all,rarely,vacation,14844,7211,111,3,medium,6.7
3,buy_more,no_experience,save_half,monthly,retirement,276239,41691,1738,12,medium,44.4
30,buy_more,no_never,invest_all,weekly,retirement,1153467,544251,9714,30,high,96.7
4,wait_and_see,no_experience,save_half,quarterly,retirement,2252523,769970,20512,10,high,62.8
2,wait_and_see,yes_always,save_all,quarterly,emergency fund,24799,18773,998,2,medium,7.7
5,wait_and_see,no_experience,save_half,weekly,buy a house,175858,394588,2143,7,high,34.4
8,buy_more,no_never,invest_all,weekly,wealth building,1079236,1858139,10756,10,high,73.1
12,buy_more,yes_sometimes,save_half,weekly,wealth building,225516,53189,1000,10,medium,37.4
2,wait_and_see,no_experience,save_half,monthly,buy a house,37396,16417,351,2,low,10.7
2,wait_and_see,yes_always,save_all,quarterly,vacation,6319,3846,99,1,medium,5.7
1,wait_and_see,yes_always,spend_it,quarterly,emergency fund,17436,7661,316,2,low,8.0
30,buy_more,yes_sometimes,invest_all,daily,wealth building,1209067,1386473,9067,30,high,85.7
1,sell_immediately,yes_sometimes,spend_it,quarterly,vacation,6889,4533,496,1,medium,8.5
4,wait_and_see,no_never,invest_all,quarterly,retirement,1691092,546739,23982,7,high,70.2
3,wait_and_see,no_experience,save_half,quarterly,buy a house,154242,39562,3000,4,medium,16.6
8,wait_and_see,yes_sometimes,invest_all,monthly,retirement,964527,363138,8138,10,medium,41.5
3,wait_and_see,yes_sometimes,invest_all,weekly,buy a house,131997,67165,2177,5,medium,20.8
15,wait_and_see,yes_sometimes,invest_all,monthly,retirement,410506,294444,1364,10,medium,43.3
4,sell_immediately,no_experience,save_half,monthly,save for a car,36006,46284,375,5,medium,17.7
1,sell_immediately,yes_always,save_all,rarely,vacation,3281,1459,43,2,medium,11.6
6,buy_more,no_never,invest_all,quarterly,wealth building,325869,365175,4050,5,high,68.1
1,wait_and_see,yes_sometimes,save_half,monthly,save for a car,29998,51953,976,2,high,21.2
5,sell_immediately,yes_sometimes,save_half,monthly,buy a house,124454,36457,2938,3,medium,8.7
2,wait_and_see,yes_sometimes,save_half,rarely,emergency fund,19279,5569,80,3,low,1.0
30,buy_more,no_never,invest_all,monthly,retirement,740299,1144827,1905,15,medium,59.8
7,wait_and_see,no_never,save_half,weekly,retirement,1269989,2147055,10160,12,high,77.8
0,sell_immediately,yes_sometimes,save_all,rarely,emergency fund,5929,1540,44,3,low,1.0
0,wait_and_see,yes_always,spend_it,quarterly,vacation,11823,2787,419,2,low,8.3
5,wait_and_see,yes_sometimes,save_all,quarterly,save for a car,27348,9370,59,5,low,1.9
4,sell_immediately,yes_sometimes,save_all,quarterly,save for a car,71461,59242,2530,3,high,14.0
8,buy_more,yes_sometimes,invest_all,monthly,retirement,2342149,3382735,17535,15,high,89.7
2,wait_and_see,yes_always,spend_it,rarely,emergency fund,13513,12538,282,2,medium,10.6
8,wait_and_see,no_never,save_half,daily,wealth building,361806,183159,490,20,medium,40.2
10,wait_and_see,no_never,save_half,weekly,retirement,3013705,2677057,29470,20,high,77.2
12,wait_and_see,no_never,invest_all,daily,wealth building,128438,97684,735,15,medium,41.6
3,buy_more,no_experience,invest_all,monthly,wealth building,564892,703572,1653,12,high,59.7
4,buy_more,no_experience,save_half,weekly,wealth building,309751,62258,3432,10,medium,40.0
4,wait_and_see,yes_sometimes,save_all,quarterly,buy a house,444583,289985,8011,5,high,31.5
12,buy_more,no_never,invest_all,weekly,wealth building,67237,51866,253,10,medium,48.4
25,buy_more,no_never,invest_all,weekly,wealth building,261204,267247,576,25,high,80.0
10,buy_more,yes_sometimes,save_half,weekly,wealth building,156371,117021,481,20,medium,38.5
3,wait_and_see,no_experience,save_all,monthly,buy a house,132533,40009,1290,3,medium,15.9
5,buy_more,no_experience,invest_all,monthly,retirement,2684246,582834,66895,5,high,74.5
15,buy_more,yes_sometimes,invest_all,monthly,retirement,594271,545359,1366,20,medium,41.5
15,buy_more,yes_sometimes,invest_all,daily,retirement,1147253,616447,5153,20,medium,52.5
3,wait_and_see,yes_sometimes,invest_all,weekly,wealth building,157861,170128,591,10,medium,33.2
1,wait_and_see,yes_sometimes,spend_it,rarely,vacation,10967,5823,978,1,medium,10.6
2,wait_and_see,yes_always,spend_it,rarely,vacation,7230,2724,77,3,low,5.8
10,wait_and_see,yes_sometimes,save_half,daily,retirement,3184629,1003024,17934,20,high,69.2
8,wait_and_see,no_never,save_half,monthly,wealth building,133623,220935,238,20,medium,41.2
3,sell_immediately,yes_sometimes,save_all,monthly,buy a house,183900,64118,5590,4,medium,23.4
20,buy_more,no_never,invest_all,daily,wealth building,857924,811342,3365,30,high,77.3
3,wait_and_see,yes_sometimes,save_half,monthly,save for a car,47764,22448,1638,2,medium,13.8
20,buy_more,yes_sometimes,invest_all,monthly,retirement,2108108,894786,7482,30,high,85.2
3,wait_and_see,no_experience,save_all,rarely,emergency fund,21789,17162,463,4,medium,3.2
0,wait_and_see,yes_always,spend_it,quarterly,emergency fund,8798,3818,62,3,low,1.2
8,buy_more,no_experience,save_half,weekly,wealth building,737051,157601,13235,7,high,66.3
4,sell_immediately,yes_sometimes,save_all,quarterly,emergency fund,10593,9454,132,4,medium,3.4
5,wait_and_see,no_experience,save_half,quarterly,emergency fund,14702,6071,36,4,low,1.0
8,buy_more,no_never,save_half,quarterly,wealth building,174384,140181,3197,5,medium,43.6
15,buy_more,no_never,invest_all,daily,wealth building,681620,1257917,2525,30,high,83.0
10,wait_and_see,yes_sometimes,invest_all,weekly,wealth building,768290,437116,2058,20,high,64.2
6,wait_and_see,no_never,invest_all,weekly,buy a house,172657,79112,4019,7,high,39.5
7,buy_more,yes_sometimes,save_half,quarterly,retirement,2597050,2268321,23359,12,high,73.2
7,wait_and_see,yes_sometimes,save_half,monthly,wealth building,199761,36808,3576,5,medium,41.3
8,wait_and_see,yes_sometimes,invest_all,monthly,buy a house,572487,183011,5020,10,high,25.2
0,sell_immediately,yes_always,spend_it,rarely,emergency fund,14631,3620,255,1,low,1.0
8,buy_more,no_experience,save_half,quarterly,retirement,3268579,2649359,34228,10,high,73.8
4,wait_and_see,no_experience,save_all,monthly,buy a house,230708,184625,3662,4,high,29.0
5,buy_more,yes_sometimes,save_half,monthly,wealth building,594713,332339,11167,12,high,63.6
8,wait_and_see,no_never,save_half,weekly,retirement,4305779,2852757,15701,20,high,75.6
5,wait_and_see,yes_sometimes,save_half,quarterly,buy a house,120604,163693,3094,2,high,36.4
1,sell_immediately,yes_sometimes,spend_it,quarterly,emergency fund,18525,4493,1082,1,low,3.6
2,sell_immediately,no_experience,save_half,monthly,emergency fund,18844,3377,357,4,low,1.0
15,buy_more,yes_sometimes,invest_all,monthly,wealth building,170661,184867,992,15,medium,44.0
0,wait_and_see,yes_always,save_all,quarterly,emergency fund,16415,7654,252,1,low,1.0
1,wait_and_see,yes_sometimes,save_half,rarely,buy a house,73696,39793,441,2,low,9.1
1,sell_immediately,no_experience,save_half,quarterly,emergency fund,8880,2110,43,4,low,1.1
2,wait_and_see,yes_always,spend_it,quarterly,emergency fund,6801,2316,268,1,low,3.1
10,buy_more,no_never,save_half,weekly,wealth building,59656,44051,509,10,medium,41.5
1,wait_and_see,yes_sometimes,save_all,quarterly,emergency fund,3108,399,46,2,low,6.3
4,wait_and_see,yes_sometimes,save_half,quarterly,buy a house,90324,33885,1189,3,low,9.6
3,sell_immediately,yes_sometimes,save_half,quarterly,save for a car,31030,20419,442,5,medium,9.5
2,wait_and_see,yes_sometimes,spend_it,rarely,vacation,7833,4192,455,1,low,9.3
3,buy_more,no_experience,invest_all,quarterly,buy a house,543997,266680,7889,10,high,39.2
1,sell_immediately,yes_sometimes,spend_it,rarely,emergency fund,8512,6454,351,1,medium,7.6
0,sell_immediately,yes_sometimes,save_all,rarely,emergency fund,17469,7818,348,1,low,1.0
3,sell_immediately,yes_sometimes,save_half,quarterly,emergency fund,17129,6109,257,5,medium,2.8
8,buy_more,no_never,invest_all,quarterly,buy a house,128025,60715,551,5,medium,28.7
8,buy_more,no_experience,invest_all,monthly,wealth building,330995,222956,1274,12,medium,42.1
5,sell_immediately,no_experience,save_all,quarterly,buy a house,50013,43089,300,3,low,10.1
8,buy_more,no_never,save_half,weekly,wealth building,241369,428040,1158,20,high,74.6
0,wait_and_see,yes_sometimes,save_all,rarely,emergency fund,24760,3080,1707,1,medium,3.9
4,sell_immediately,no_experience,save_all,monthly,save for a car,12922,1637,211,2,low,8.2
4,sell_immediately,yes_sometimes,save_half,rarely,buy a house,102594,85730,880,4,medium,15.6
5,wait_and_see,yes_sometimes,save_half,monthly,emergency fund,11660,1393,82,5,low,1.0
1,sell_immediately,yes_sometimes,save_all,rarely,emergency fund,19218,5083,480,1,low,1.0
2,sell_immediately,yes_sometimes,spend_it,rarely,emergency fund,12976,6932,549,1,low,1.0
8,buy_more,yes_sometimes,invest_all,weekly,wealth building,136014,31586,452,15,medium,42.5
25,buy_more,no_never,invest_all,daily,wealth building,436121,172673,2133,25,medium,56.9
7,buy_more,no_experience,invest_all,weekly,buy a house,238831,297247,570,12,medium,25.8
12,wait_and_see,yes_sometimes,save_half,daily,retirement,3180442,2971281,38556,10,high,67.2
15,buy_more,no_never,invest_all,weekly,retirement,1135937,288571,10678,15,medium,57.8
4,wait_and_see,yes_sometimes,save_half,monthly,retirement,3136909,2396899,25917,12,high,69.1
4,sell_immediately,no_experience,save_half,monthly,save for a car,36246,41017,507,2,medium,13.8
7,wait_and_see,no_experience,invest_all,monthly,retirement,765085,279785,4417,10,medium,42.6
6,buy_more,no_never,invest_all,quarterly,wealth building,773545,656143,17386,7,high,73.4
18,wait_and_see,no_never,invest_all,weekly,retirement,1099695,733609,3555,20,medium,48.8
12,wait_and_see,yes_sometimes,invest_all,monthly,wealth building,180501,110145,378,20,medium,36.2
3,sell_immediately,yes_sometimes,save_all,quarterly,buy a house,164342,176216,2092,3,medium,17.1
4,sell_immediately,no_experience,save_all,rarely,save for a car,20654,5510,90,4,low,2.4
1,wait_and_see,yes_always,spend_it,quarterly,vacation,13935,3249,1473,1,medium,15.3
10,wait_and_see,yes_sometimes,invest_all,daily,wealth building,369887,176404,2240,15,high,62.1
20,buy_more,yes_sometimes,invest_all,monthly,wealth building,243521,113250,553,20,medium,38.2
2,sell_immediately,yes_sometimes,save_half,monthly,buy a house,69601,20171,1112,4,low,4.3
12,wait_and_see,yes_sometimes,save_half,weekly,wealth building,720654,469472,10712,15,high,67.7
4,buy_more,no_never,invest_all,weekly,wealth building,934905,1205772,8448,12,high,71.7
6,wait_and_see,no_experience,save_half,monthly,retirement,1394495,1876085,22826,7,high,79.4
1,wait_and_see,yes_sometimes,spend_it,quarterly,emergency fund,5915,2338,689,1,medium,2.0
8,wait_and_see,no_experience,save_half,monthly,buy a house,112513,206959,947,12,high,45.5
1,wait_and_see,yes_sometimes,save_all,quarterly,save for a car,45440,21261,1032,4,medium,10.0
7,wait_and_see,no_experience,save_half,quarterly,buy a house,116606,35210,3260,5,medium,20.4
6,buy_more,yes_sometimes,save_half,quarterly,wealth building,501777,253055,11074,7,high,67.6
0,wait_and_see,yes_sometimes,save_all,rarely,vacation,11236,2302,431,3,medium,5.5
1,wait_and_see,yes_always,save_all,quarterly,vacation,8531,8903,176,3,medium,14.1
5,wait_and_see,yes_sometimes,invest_all,weekly,retirement,664095,709659,3609,10,medium,40.4
6,wait_and_see,yes_sometimes,save_half,weekly,wealth building,416396,261598,5111,10,high,59.3
15,buy_more,no_never,invest_all,weekly,retirement,2887780,6612341,10877,25,high,96.5
5,buy_more,no_experience,invest_all,weekly,buy a house,122511,95774,791,7,medium,22.7
5,sell_immediately,no_experience,save_half,monthly,emergency fund,22026,12180,81,5,medium,9.9
10,wait_and_see,no_never,invest_all,daily,retirement,3400024,3611993,26699,20,high,73.7
6,wait_and_see,no_experience,save_half,quarterly,retirement,828964,446147,7664,7,medium,37.5
18,wait_and_see,yes_sometimes,save_half,monthly,wealth building,1075001,1723998,1954,20,high,56.9
20,buy_more,no_never,invest_all,monthly,retirement,3185911,900876,40579,15,high,91.8
5,sell_immediately,yes_sometimes,save_all,quarterly,emergency fund,51130,28026,5738,2,high,18.0
18,buy_more,no_never,invest_all,weekly,wealth building,222682,259579,1372,15,medium,49.7
1,sell_immediately,no_experience,save_half,monthly,save for a car,24810,19791,172,4,low,4.5
0,sell_immediately,yes_sometimes,spend_it,rarely,vacation,11357,1070,161,3,medium,2.4
15,buy_more,yes_sometimes,invest_all,weekly,retirement,1171201,1127155,4958,20,medium,47.3
18,wait_and_see,yes_sometimes,save_half,weekly,retirement,768066,783839,4962,20,high,77.0
7,wait_and_see,yes_sometimes,save_half,quarterly,retirement,2322933,1450669,33243,5,high,68.5
2,wait_and_see,yes_sometimes,save_all,rarely,emergency fund,17763,3475,1727,1,medium,1.3
3,sell_immediately,yes_sometimes,save_all,rarely,save for a car,27750,15846,530,4,medium,16.6
5,wait_and_see,yes_sometimes,save_half,weekly,wealth building,424210,333460,2550,5,high,55.5
2,sell_immediately,no_experience,save_half,rarely,buy a house,63048,11847,1908,2,medium,6.1
12,wait_and_see,no_never,invest_all,daily,retirement,1586613,319823,15849,10,high,75.2
25,buy_more,no_never,invest_all,monthly,retirement,2400359,652608,14058,20,high,86.3
0,sell_immediately,yes_sometimes,save_all,rarely,vacation,8494,3509,465,2,medium,8.5
8,buy_more,no_never,invest_all,monthly,wealth building,343620,347883,491,15,medium,45.3
5,buy_more,yes_sometimes,invest_all,quarterly,retirement,908316,754769,9525,10,high,66.2
2,sell_immediately,yes_sometimes,save_half,monthly,save for a car,18742,7800,451,2,low,10.0
1,wait_and_see,yes_always,save_all,rarely,emergency fund,32890,6563,547,3,medium,6.8
2,sell_immediately,no_experience,save_half,rarely,save for a car,12022,1031,91,4,low,2.1
2,sell_immediately,yes_always,spend_it,rarely,emergency fund,15393,2477,313,2,low,5.8
2,sell_immediately,yes_sometimes,save_all,rarely,emergency fund,7793,5320,118,2,medium,1.0
4,wait_and_see,yes_sometimes,invest_all,quarterly,wealth building,165429,147208,2373,5,medium,38.1
5,sell_immediately,yes_sometimes,save_half,rarely,emergency fund,14098,7747,129,2,medium,6.5
4,wait_and_see,no_experience,save_half,monthly,emergency fund,12854,10730,90,3,high,8.8
25,buy_more,no_never,invest_all,daily,wealth building,346963,378738,1941,15,medium,57.0
20,buy_more,yes_sometimes,invest_all,daily,wealth building,262748,239835,675,20,medium,45.0
7,buy_more,no_experience,invest_all,quarterly,retirement,3271692,1027473,29460,10,high,80.1
15,buy_more,no_never,invest_all,daily,wealth building,195101,241290,340,15,medium,53.1
2,wait_and_see,yes_sometimes,save_all,quarterly,emergency fund,11878,5022,239,2,low,1.9
10,wait_and_see,yes_sometimes,invest_all,monthly,retirement,1296324,1018980,6573,20,medium,37.7
3,sell_immediately,yes_sometimes,save_all,monthly,buy a house,55367,19111,1025,3,low,8.2
5,buy_more,no_experience,save_half,quarterly,retirement,2691968,2313618,7302,12,high,66.5
3,sell_immediately,no_experience,save_all,monthly,buy a house,478350,614295,13719,4,high,27.7
2,sell_immediately,yes_sometimes,save_all,monthly,save for a car,29206,2333,530,2,low,1.0
2,wait_and_see,yes_sometimes,save_all,rarely,vacation,7203,2741,485,1,low,6.8
2,sell_immediately,yes_always,spend_it,quarterly,vacation,11629,6347,360,3,medium,7.4
1,wait_and_see,yes_always,spend_it,quarterly,emergency fund,8236,4653,104,2,medium,4.6
5,wait_and_see,yes_sometimes,save_half,monthly,wealth building,214157,90376,1125,7,medium,27.9
1,wait_and_see,yes_sometimes,spend_it,rarely,vacation,10180,6906,48,3,low,1.0
15,wait_and_see,yes_sometimes,save_half,daily,wealth building,253486,279686,1168,10,medium,37.2
1,sell_immediately,yes_sometimes,save_half,quarterly,save for a car,21096,9264,679,2,medium,6.2
30,buy_more,no_never,invest_all,daily,wealth building,214238,710751,592,30,high,85.1
2,sell_immediately,no_experience,save_all,quarterly,buy a house,51067,9044,732,4,low,6.5
4,wait_and_see,yes_sometimes,save_all,rarely,buy a house,138852,147149,1727,5,medium,15.1
5,wait_and_see,no_never,save_half,quarterly,wealth building,90091,20780,661,7,medium,28.7
4,sell_immediately,yes_sometimes,save_all,rarely,buy a house,307598,193505,6339,3,high,23.1
1,sell_immediately,yes_sometimes,save_all,rarely,buy a house,81614,19725,2062,3,low,1.0
0,wait_and_see,yes_sometimes,save_all,quarterly,emergency fund,8172,1722,175,3,low,1.0
7,buy_more,yes_sometimes,save_half,weekly,wealth building,1090091,1430220,6011,12,high,66.4
5,sell_immediately,no_experience,save_all,rarely,save for a car,15247,11694,151,3,low,7.2
12,wait_and_see,no_never,save_half,monthly,wealth building,404734,290202,4668,20,high,73.6
15,buy_more,yes_sometimes,save_half,daily,retirement,1003804,295185,3299,15,medium,47.0
1,sell_immediately,yes_sometimes,save_half,monthly,buy a house,487023,266809,18298,2,high,23.6
7,buy_more,no_never,save_half,quarterly,retirement,2673532,1112907,18424,12,high,73.4
8,wait_and_see,yes_sometimes,save_half,weekly,retirement,1190295,1965783,11317,15,high,72.2
1,sell_immediately,yes_always,spend_it,quarterly,emergency fund,14026,6963,336,3,medium,1.0
1,wait_and_see,yes_always,save_all,rarely,vacation,8275,3917,92,2,low,13.2
5,buy_more,no_experience,save_half,weekly,wealth building,736278,655348,4033,5,high,54.9
18,buy_more,yes_sometimes,invest_all,daily,retirement,1190679,329805,6732,15,medium,56.4
2,sell_immediately,no_experience,save_all,rarely,save for a car,34042,19763,257,5,medium,4.4
1,sell_immediately,yes_sometimes,save_all,rarely,buy a house,353596,390828,16493,3,high,23.2
3,wait_and_see,no_experience,save_all,monthly,buy a house,176285,46869,3034,5,high,33.3
1,wait_and_see,yes_always,save_all,rarely,emergency fund,31616,4477,1068,2,medium,1.0
1,sell_immediately,yes_always,spend_it,quarterly,emergency fund,5431,2155,317,1,medium,3.2
20,buy_more,no_never,invest_all,monthly,wealth building,408629,204018,1216,20,medium,36.2
5,sell_immediately,yes_sometimes,save_all,quarterly,emergency fund,28426,27452,203,5,high,8.6
25,buy_more,no_never,invest_all,daily,retirement,849946,379295,7060,20,medium,61.3
2,sell_immediately,yes_sometimes,spend_it,rarely,vacation,9368,5103,394,2,medium,9.7
5,buy_more,yes_sometimes,invest_all,weekly,retirement,304224,47617,1536,12,medium,41.2
8,buy_more,no_experience,invest_all,quarterly,buy a house,521181,350954,5331,10,high,41.7
1,wait_and_see,yes_always,spend_it,rarely,vacation,5287,1449,70,3,low,7.2
6,wait_and_see,no_never,invest_all,monthly,buy a house,93119,25256,1285,7,medium,22.6
4,wait_and_see,yes_sometimes,save_half,monthly,retirement,590102,98588,7880,5,medium,36.3
12,buy_more,no_never,save_half,monthly,wealth building,379740,271548,501,20,medium,47.8
2,wait_and_see,yes_always,save_all,quarterly,emergency fund,11645,1378,308,1,low,6.9
5,buy_more,no_never,invest_all,weekly,retirement,280180,221623,686,12,medium,48.3
25,buy_more,no_never,invest_all,daily,wealth building,514153,280700,5648,20,high,86.2
8,buy_more,no_experience,invest_all,monthly,wealth building,87222,15882,1481,5,medium,36.2
8,wait_and_see,yes_sometimes,save_half,quarterly,buy a house,61818,46099,274,12,medium,23.0
3,sell_immediately,no_experience,save_all,monthly,emergency fund,9193,999,143,4,medium,3.3
25,buy_more,yes_sometimes,invest_all,daily,wealth building,227030,112659,1383,20,medium,48.2
7,wait_and_see,no_experience,save_half,weekly,retirement,807452,1029608,5549,10,high,77.0
8,buy_more,no_experience,invest_all,weekly,wealth building,289483,184528,1593,7,medium,40.1
15,wait_and_see,yes_sometimes,invest_all,weekly,wealth building,510803,556253,5295,10,high,67.4
3,wait_and_see,no_experience,save_all,rarely,save for a car,44485,37173,1506,3,high,25.4
15,wait_and_see,yes_sometimes,invest_all,monthly,retirement,1003537,193724,5721,15,medium,43.5
4,wait_and_see,yes_sometimes,invest_all,weekly,buy a house,110079,92804,397,12,high,35.2
4,sell_immediately,yes_sometimes,save_all,rarely,save for a car,46021,10003,942,4,medium,18.3
8,wait_and_see,yes_sometimes,save_half,weekly,buy a house,148333,30357,3351,5,high,38.7
1,wait_and_see,no_experience,save_half,monthly,emergency fund,34774,22074,407,3,medium,6.3
3,buy_more,yes_sometimes,save_half,quarterly,buy a house,379893,746644,7429,5,high,35.2
5,buy_more,no_never,save_half,weekly,wealth building,217869,111531,2602,7,medium,33.9
